=================================================================================
IMPORT LOG - EXCEL IMPORT
Date: 2026-03-28 11:00:48
Start Date: 2021-04-12
License Type: FL-III
Allowed Classes: W, V, M, F, D, K, G, R
=================================================================================

[2026-03-28 11:00:48] [START] Import started - File: BRAND TYPES Final_transformed_with_barcode.xlsx, Type: excel, Start Date: 2021-04-12
[2026-03-28 11:01:00] [INFO] Excel Headers found: Code, ItemName, PrintName, Size, PPrice, BPrice, MPrice, RPrice, LIQFLAG, OpeningBalance, Category, Class, SubClass, barcode
[2026-03-28 11:01:00] [SKIPPED] Row: 346 | Code: SCMPL0043544 | Item: BARREL 24 PREMIUM WHIKSY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 347 | Code: SCMPL0043546 | Item: BARREL 24 PREMIUM WHIKSY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 348 | Code: SCMPL0043545 | Item: BARREL 24 PREMIUM WHIKSY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 349 | Code: SCMPL0043543 | Item: BARREL 24 PREMIUM WHIKSY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 354 | Code: SCMBR0028502 | Item: Beck?s Ice Superior Strength Classic | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 355 | Code: SCMBR0028504 | Item: Beck?s Ice Superior Strength Classic | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 356 | Code: SCMBR0028505 | Item: Beck?s Ice Superior Strength Classic | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 357 | Code: SCMBR0028506 | Item: Beck?s Ice Superior Strength Classic | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 358 | Code: SCMBR0028503 | Item: Beck?s Ice Superior Strength Classic | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 359 | Code: SCMBR0028507 | Item: Beck?s Ice Superior Strength Classic | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 360 | Code: SCMBR0018969 | Item: Beck\\\'s Ice | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 361 | Code: SCMBR0018968 | Item: Beck\\\'s Ice | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 362 | Code: SCMBR0018965 | Item: Beck\\\'s Ice | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 363 | Code: SCMBR0022712 | Item: Beck\\\'s Ice | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 364 | Code: SCMBR0018964 | Item: Beck\\\'s Ice | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 365 | Code: SCMBR0018967 | Item: Beck\\\'s Ice | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 366 | Code: SCMBR0018966 | Item: Beck\\\'s Ice | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 367 | Code: SCMBR0029608 | Item: Beck\\\'s Ice Superior Strength Superior Classic | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 368 | Code: SCMBR0029607 | Item: Beck\\\'s Ice Superior Strength Superior Classic | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 369 | Code: SCMBR0029606 | Item: Beck\\\'s Ice Superior Strength Superior Classic | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 376 | Code: SCMLS0033914 | Item: BEEFEATER LONDON PINK STRAWBERRY FLAVORED DISTILLE | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 386 | Code: SCMWN0023136 | Item: Bella Zinfandel Rose | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 387 | Code: SCMWN0023137 | Item: Bella Zinfandel Rose | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 405 | Code: SCMLS0027317 | Item: Benchmark Old No. 8 Brand Bourbon | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 447 | Code: SCMPL0024552 | Item: Black By Bacardi | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 448 | Code: SCMPL0024551 | Item: Black By Bacardi | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 449 | Code: SCMPL0024553 | Item: Black By Bacardi | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 450 | Code: SCMPL0024550 | Item: Black By Bacardi | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 462 | Code: SCMPL0010478 | Item: BLACK DOG CENTENARY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 463 | Code: SCMPL0009697 | Item: BLACK DOG CENTENARY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 464 | Code: SCMPL0009701 | Item: BLACK DOG CENTENARY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 465 | Code: SCMPL0009700 | Item: BLACK DOG CENTENARY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 466 | Code: SCMPL0009699 | Item: BLACK DOG CENTENARY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 467 | Code: SCMPL0009698 | Item: BLACK DOG CENTENARY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 468 | Code: SCMPL0016898 | Item: BLACK DOG CENTENARY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 469 | Code: SCMPL0016899 | Item: BLACK DOG CENTENARY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 470 | Code: SCMPL0036906 | Item: BLACK DOG CENTENARY | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 471 | Code: SCMKS0026876 | Item: Black Dog Centenary Black Reserve Aged & Rear Blen | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 472 | Code: SCMKS0037797 | Item: Black Dog Centenary Black Reserve Aged & Rear Blen | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 478 | Code: SCMKS0030909 | Item: Black Dog Millard\\\'s Private Reserve Blended Sco | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 490 | Code: SCMPL0012688 | Item: BLACK DOG TRIPLE GOLD RESERVE CELERBATION EDITION | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 504 | Code: SCMWN0020113 | Item: Blanca Chenin Blanc | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 505 | Code: SCMWN0020114 | Item: Blanca Chenin Blanc | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 540 | Code: SCMPL0009722 | Item: BLUE RIBAND DUET | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 541 | Code: SCMPL0009724 | Item: BLUE RIBAND DUET | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 542 | Code: SCMPL0009725 | Item: BLUE RIBAND DUET | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 543 | Code: SCMPL0009723 | Item: BLUE RIBAND DUET | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 560 | Code: SCMLS0021183 | Item: BOLS AMARETTO LIQUEUR | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 574 | Code: SCMPL0011846 | Item: Breezer Blackberry Crush | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 575 | Code: SCMPL0011844 | Item: Breezer Blueberry | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 576 | Code: SCMPL0011842 | Item: Breezer Cranberry | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 577 | Code: SCMPL0031820 | Item: BREEZER Crips WATERMELON MINT FLAVOUR | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 578 | Code: SCMPL0031822 | Item: BREEZER Delicious BLACKBERRY CRUSH FLAVOUR | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 579 | Code: SCMPL0031818 | Item: BREEZER Exotic JAMAICAN PASSION FLAVOUR | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 580 | Code: SCMPL0011845 | Item: Breezer Jamaican Passion | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 581 | Code: SCMPL0017865 | Item: Breezer Lemon Splash | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 582 | Code: SCMPL0011843 | Item: Breezer Orange | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 583 | Code: SCMPL0038513 | Item: BREEZER Ripe MANGO PEACH FLAVOUR | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 584 | Code: SCMPL0031817 | Item: BREEZER Tangy CRANBERRY FLAVOUR | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 585 | Code: SCMPL0031819 | Item: BREEZER Tasty BLUEBERRY FLAVOUR | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 586 | Code: SCMPL0029735 | Item: Breezer Ultra Deluxe Watermelon Mint | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
[2026-03-28 11:01:00] [SKIPPED] Row: 587 | Code: SCMPL0031821 | Item: BREEZER Zesty ORANGE FLAVOUR | Reason: Class group 'O' not allowed for license 'FL-III' | Details: Allowed groups: W, V, M, F, D, K, G, R
