Item Code,Item Name,Class,Size,Opening Balance (DAY_01_OPEN),Month
SCMBR0018968,Beck\'s Ice .,F,30 Ltr,0,2025-12
SCMBR0018969,Beck\'s Ice .,F,50 Ltr,0,2025-12
SCMBR0020605,Original Bira 91 Strong Beer(s) .,F,20 Ltr,0,2025-12
SCMBR0020606,Original Bira 91 Strong Beer(s) .,F,30 Ltr,0,2025-12
SCMBR0020607,Original BIRA 91 BLONDE Beer(s) .,F,20 Ltr,0,2025-12
SCMBR0020608,Original BIRA 91 BLONDE Beer(s) .,F,30 Ltr,0,2025-12
SCMBR0020611,Original Bira 91 White Beer(s) .,F,20 Ltr,0,2025-12
SCMBR0020612,Original Bira 91 White Beer(s) .,F,30 Ltr,0,2025-12
SCMBR0020992,Original Bira 91 White Beer(s) .,F,500 ML (CAN),0,2025-12
SCMBR0021297,Tuborg Strong International Premium Beer .,F,330 ML,0,2025-12
SCMBR0021298,Tuborg Strong International Premium Beer .,F,650 ML,0,2025-12
SCMBR0021299,Tuborg Green International Beer .,M,330 ML,0,2025-12
SCMBR0021300,Tuborg Green International Beer .,M,650 ML,0,2025-12
SCMBR0021301,Carlsberg Elephant Strong International Premium Be,F,650 ML,0,2025-12
SCMBR0021531,Amstel Super Premium Strong beer .,F,500 ML (CAN),0,2025-12
SCMBR0021532,Amstel Super Premium Strong beer .,F,650 ML,0,2025-12
SCMBR0021754,Original BIRA 91 Boom Super Strong Beer .,F,330 ML,0,2025-12
SCMBR0021755,Original BIRA 91 Boom Super Strong Beer .,F,650 ML,0,2025-12
SCMBR0021920,Foster?s Strong Premium Beer .,F,650 ML,0,2025-12
SCMBR0022712,Beck\'s Ice .,F,330 ML (CAN),0,2025-12
SCMBR0022738,Khajuraho Strong Beer .,F,330 ML,0,2025-12
SCMBR0022739,Khajuraho Strong Beer .,F,330 ML (CAN),0,2025-12
SCMBR0022740,Khajuraho Strong Beer .,F,500 ML (CAN),0,2025-12
SCMBR0022741,Khajuraho Strong Beer .,F,650 ML,0,2025-12
SCMBR0022742,KANGARO PREMIUM LAGER BEER .,M,330 ML,0,2025-12
SCMBR0022743,KANGARO PREMIUM LAGER BEER .,M,330 ML (CAN),0,2025-12
SCMBR0022744,KANGARO PREMIUM LAGER BEER .,M,650 ML,0,2025-12
SCMBR0023052,Knock Out High Punch Strong .,F,330 ML,0,2025-12
SCMBR0023059,Budweiser Magnum Strong Beer .,F,15 Ltr,0,2025-12
SCMBR0023060,Budweiser Magnum Strong Beer .,F,30 Ltr,0,2025-12
SCMBR0023061,Budweiser Magnum Strong Beer .,F,50 Ltr,0,2025-12
SCMBR0023062,Budweiser Magnum Premium Strong Beers .,F,15 Ltr,0,2025-12
SCMBR0023063,Budweiser Magnum Premium Strong Beers .,F,30 Ltr,0,2025-12
SCMBR0023064,Budweiser Magnum Premium Strong Beers .,F,50 Ltr,0,2025-12
SCMBR0023065,Budweiser King of Beer .,M,15 Ltr,0,2025-12
SCMBR0023066,Budweiser King of Beer .,M,30 Ltr,0,2025-12
SCMBR0023067,Budweiser King of Beer .,M,50 Ltr,0,2025-12
SCMBR0023068,Budweiser Premium King of Beer .,M,15 Ltr,0,2025-12
SCMBR0023069,Budweiser Premium King of Beer .,M,30 Ltr,0,2025-12
SCMBR0023070,Budweiser Premium King of Beer .,M,50 Ltr,0,2025-12
SCMBR0023096,Foster?s Strong Premium Beer .,F,500 ML (CAN),0,2025-12
SCMBR0023253,Carlsberg Mild Lager .,M,330 ML,0,2025-12
SCMBR0023254,Carlsberg Mild Lager .,M,500 ML (CAN),0,2025-12
SCMBR0023255,Carlsberg Mild Lager .,M,650 ML,0,2025-12
SCMBR0023256,Carlsberg Strong Beer .,M,330 ML,0,2025-12
SCMBR0023257,Carlsberg Strong Beer .,M,500 ML (CAN),0,2025-12
SCMBR0023258,Carlsberg Strong Beer .,M,650 ML,0,2025-12
SCMBR0023259,Tuborg Premium Beer .,M,330 ML,0,2025-12
SCMBR0023260,Tuborg Premium Beer .,M,500 ML (CAN),0,2025-12
SCMBR0023261,Tuborg Premium Beer .,M,650 ML,3,2025-12
SCMBR0023262,Tuborg Strong Beer. .,F,330 ML,0,2025-12
